,area,city code,use internet at home,household id,household size,employment,education, hispanic,race,internet service provider,high-speed service,satellite,dial-up,other internet service,mobile data plan internet,dont need internet,cant afford internet,internet not available in area,no device for internet,no internet for other reason,internet comm with doctor,research health info online,electronic health monitoring,access health records online,would buy internet if lower price,use internet for online classes,state,county
100,14010,0,1,010710358076553,2,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,2,17,0
101,41180,0,1,610000521625387,1,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,2,17,119
102,0,0,1,102201070028638,1,1,41,2,1,5,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,1,17,0
103,0,0,1,010710272272287,2,5,40,2,1,1,1,1,1,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
104,0,0,1,010710272272287,2,1,39,2,1,1,1,1,1,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
105,0,0,1,106340513072710,1,1,40,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,2,17,0
106,0,0,1,210005541335277,2,5,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,2,17,0
107,0,0,1,210005541335277,2,1,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,17,0
108,37900,0,1,610002311028427,2,5,42,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
109,37900,0,1,610002311028427,2,1,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,0
110,37900,0,1,010710242231806,3,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
111,37900,0,1,010710242231806,3,7,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,1,17,0
112,41180,0,1,101370615075791,4,5,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,163
113,41180,0,1,101370615075791,4,5,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,163
114,41180,0,1,101370615075791,4,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,163
115,41180,0,1,101370615075791,4,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,163
116,0,0,1,153381070026939,2,5,39,2,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,1,-1,2,17,0
117,0,0,1,153381070026939,2,5,40,2,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,1,-1,-1,17,0
118,0,0,1,407101833710890,2,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
119,0,0,1,407101833710890,2,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,1,17,0
120,0,0,1,710000181839437,5,1,42,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,2,17,0
121,0,0,1,710000181839437,5,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
122,0,0,1,710000181839437,5,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
123,0,0,1,710000181839437,5,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
124,0,0,1,010710377833354,2,5,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,2,17,0
125,0,0,1,010710377833354,2,5,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,17,0
126,0,0,2,407101833710890,2,5,39,2,1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,-1,-1,-1,-1,2,-1,17,0
127,0,0,2,407101833710890,2,5,39,2,1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,-1,-1,-1,-1,2,-1,17,0
128,16980,0,1,020067582106821,2,1,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
129,16980,0,1,020067582106821,2,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
130,0,0,1,777553401220105,5,6,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,17,0
131,0,0,1,777553401220105,5,1,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,17,0
132,0,0,1,777553401220105,5,1,41,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,17,0
133,0,0,1,777553401220105,5,-1,-1,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,17,0
134,0,0,1,777553401220105,5,1,39,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,1,2,-1,2,17,0
